251.772,251.711,251.695,251.647,251.703,251.729,251.671,251.709,251.673,251.668,251.724,251.682,251.679
251.657,251.701,251.583,251.517,251.636,251.491,251.52,251.727,251.46,251.688,251.461,251.606,251.669
251.771,251.71,251.698,251.646,251.702,251.732,251.672,251.714,251.684,251.667,251.723,251.681,251.678
251.674,251.529,251.532,251.352,251.5,251.612,251.43,251.582,251.538,251.42,251.542,251.449,251.461
251.674,251.533,251.534,251.356,251.503,251.612,251.434,251.584,251.539,251.416,251.546,251.452,251.457
251.656,251.7,251.587,251.52,251.638,251.495,251.523,251.726,251.457,251.688,251.469,251.617,251.671
251.491,251.579,251.368,251.348,251.477,251.186,251.351,251.62,251.18,251.557,251.155,251.477,251.54
251.741,251.302,251.191,251.657,251.618,251.543,251.694,250.774,251.727,251.533,251.668,251.527,251.057
251.637,251.458,251.484,251.238,251.438,251.565,251.337,251.563,251.477,251.318,251.497,251.354,251.37
251.476,251.567,251.37,251.321,251.463,251.173,251.338,251.607,251.139,251.544,251.156,251.437,251.527
251.477,251.567,251.37,251.324,251.463,251.176,251.339,251.607,251.139,251.545,251.156,251.437,251.527
251.738,251.296,251.167,251.652,251.604,251.548,251.694,250.763,251.726,251.532,251.653,251.526,251.062
251.455,251.537,251.337,251.307,251.439,251.13,251.303,251.593,251.111,251.525,251.101,251.455,251.508
251.613,251.449,251.435,251.184,251.377,251.52,251.292,251.58,251.433,251.284,251.453,251.313,251.342
251.456,251.534,251.337,251.308,251.44,251.126,251.304,251.594,251.108,251.526,251.101,251.456,251.509
251.724,251.241,251.126,251.605,251.607,251.508,251.699,250.661,251.673,251.517,251.678,251.447,250.976
251.727,251.257,251.15,251.607,251.613,251.506,251.705,250.663,251.676,251.523,251.68,251.458,250.978
251.728,251.203,251.183,251.605,251.608,251.467,251.703,250.349,251.721,251.473,251.675,251.399,250.702
251.718,251.197,251.169,251.6,251.593,251.473,251.715,250.368,251.697,251.473,251.669,251.403,250.747
251.515,251.308,251.262,250.967,251.219,251.397,251.098,251.524,251.257,251.122,251.298,251.132,251.207
251.544,251.354,251.315,251.048,251.281,251.444,251.174,251.547,251.307,251.178,251.352,251.191,251.263
251.513,251.306,251.261,250.957,251.223,251.396,251.097,251.523,251.259,251.112,251.296,251.132,251.197
251.287,251.392,251.08,251.099,251.264,250.879,251.109,251.448,250.865,251.373,250.785,251.317,251.291
251.7,251.147,251.124,251.596,251.576,251.438,251.701,250.265,251.675,251.464,251.648,251.337,250.692
251.492,251.214,251.15,250.834,251.216,251.236,251.07,251.452,251.116,251.124,251.107,251.087,251.126
251.292,251.426,251.091,251.085,251.242,250.856,251.039,251.492,250.846,251.365,250.776,251.316,251.396
251.689,251.134,251.08,251.586,251.581,251.392,251.693,250.176,251.661,251.444,251.636,251.316,250.647
251.689,251.118,251.078,251.586,251.581,251.4,251.693,250.168,251.66,251.447,251.636,251.296,250.646
251.498,251.236,251.183,250.785,251.224,251.249,251.076,251.478,251.082,251.135,251.153,251.107,251.105
251.492,251.219,251.16,250.834,251.216,251.247,251.07,251.459,251.121,251.124,251.111,251.092,251.127
251.498,251.236,251.183,250.798,251.224,251.254,251.077,251.478,251.095,251.135,251.154,251.108,251.113
251.663,251.109,251.082,251.564,251.571,251.343,251.681,249.7,251.587,251.43,251.579,251.255,250.301
251.737,251.146,251.213,251.656,251.572,251.526,251.733,250.332,251.782,251.357,251.746,251.369,250.79
251.498,251.222,251.195,250.848,251.221,251.293,251.061,251.481,251.157,251.127,251.16,251.111,251.125
251.146,251.286,250.944,250.998,251.13,250.7,250.973,251.28,250.631,251.253,250.565,251.189,251.079
251.14,251.279,250.93,250.992,251.124,250.72,250.968,251.26,250.669,251.245,250.603,251.183,251.066
251.14,251.279,250.932,250.992,251.124,250.72,250.968,251.264,250.669,251.245,250.603,251.183,251.072
251.261,251.401,251.043,251.018,251.205,250.8,250.983,251.459,250.807,251.332,250.717,251.282,251.374
251.649,251.072,251.089,251.547,251.564,251.351,251.676,249.902,251.606,251.418,251.582,251.281,250.444
251.233,251.376,250.96,251.003,251.153,250.794,250.904,251.411,250.793,251.296,250.691,251.236,251.343
251.192,251.338,250.909,250.912,251.099,250.741,250.803,251.311,250.753,251.228,250.669,251.189,251.297
251.649,251.061,251.089,251.547,251.564,251.351,251.676,249.901,251.605,251.417,251.584,251.28,250.443
251.615,251.055,251.043,251.454,251.535,251.284,251.661,249.794,251.573,251.352,251.563,251.258,250.38
251.286,251.421,251.082,251.077,251.226,250.841,251.029,251.488,250.823,251.359,250.76,251.309,251.384
251.193,251.338,250.905,250.924,251.094,250.745,250.814,251.311,250.753,251.232,250.67,251.193,251.297
251.466,251.197,251.062,250.781,251.046,251.354,251.11,251.526,251.228,250.936,251.243,251.042,251.101
251.616,251.056,251.039,251.459,251.536,251.279,251.661,249.797,251.574,251.359,251.564,251.258,250.375
251.468,251.201,251.083,250.797,251.077,251.352,251.111,251.525,251.228,250.961,251.241,251.056,251.107
251.466,251.192,251.077,250.789,251.075,251.352,251.109,251.515,251.222,250.959,251.24,251.054,251.098
251.15,251.299,250.816,250.91,251.065,250.716,250.746,251.22,250.711,251.158,250.632,251.162,251.217
251.475,251.225,251.094,250.857,251.135,251.36,251.112,251.54,251.226,250.973,251.232,251.071,251.126
251.482,251.204,251.036,250.827,251.144,251.325,251.139,251.582,251.242,250.956,251.202,251.03,251.127
251.149,251.298,250.826,250.909,251.065,250.715,250.736,251.23,250.71,251.148,250.631,251.162,251.222
251.472,251.223,251.083,250.855,251.132,251.358,251.112,251.529,251.226,250.962,251.231,251.069,251.116
251.482,251.199,251.048,250.819,251.144,251.331,251.139,251.582,251.242,250.963,251.208,251.022,251.122
